tweet_id,sentiment,content
1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow
1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...
1956976312,sad,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976371,fear,I need skott right now
1956976557,neutral,has work this afternoon
1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
1956977084,happy,mmm much better day... so far! it's still quite early. last day of #uds
1956977187,happy,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1956977618,fear,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
1956977624,fear,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
1956978276,neutral,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
1956978410,fear,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
1956978668,fear,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
1956979150,sad,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
1956979756,neutral,wnna take a bath!!!!
1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw
1956979900,fear,why am i so tired?
1956979917,neutral,@djmicdamn hey yu lil fucker i textd yu
1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?
1956980972,fear,sucks not being able to take days off of work or have the money to take the trip  so sad
1956981427,happy,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
1956982075,neutral,@lostluna But I got dibs on Sulu...
1956982383,sad,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982449,fear,@itsgabbith at once haha.  poor aby still gets sore!
1956982576,sad,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1956982605,sad,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sad,@Pokinatcha  in all honesty...pain   blech.
1956983171,sad,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983467,neutral,At home alone with not much to do
1956983509,fear,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
1956983690,sad,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983851,fear,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
1956983874,happy,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956983931,neutral,I cant give @jertronic any bday nudges.
1956984185,fear,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion
1956984864,fear,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
1956984894,neutral,I miss Voobys!
1956985129,neutral,@Dancing_Monk Neither are ELP!!
1956985535,happy,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985612,fear,is sad that shin ae got married...and it wasn't to alex
1956985758,fear,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
1956985764,sad,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
1956986211,sad,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986359,fear,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
1956986767,sad,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956987381,fear,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
1956987600,angry,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956987828,fear,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
1956987904,fear,I can't sleep...I keep thinking about the puppy I played with today
1956987950,fear,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
1956988145,neutral,@lepetitagneau what's going on sweetheart?
1956988218,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
1956988223,fear,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
1956988477,neutral,@willxxmobb work at 6am. Gotta go to bed soon
1956989093,happy,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514,sad,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sad,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sad,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989561,neutral,PrinceCharming
1956989601,angry,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956989914,fear,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
1956990288,angry,@mrgenius23 You win ... SIGH Rakeem
1956990413,neutral,Oh is that time for real?
1956990568,sad,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956990729,fear,Oh no one minute too late! Oh well
1956991009,angry,"@soviet_star Damn, that sucks"
1956991673,sad,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956991704,angry,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956991723,fear,ahh! big scary bug flying around my room!!!!!
1956992030,sad,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956992144,fear,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
1956992349,neutral,@justamedicine  That was stone cold   Crazy....  ?
1956993007,neutral,i'm so tired
1956993080,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
1956993206,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
1956994067,neutral,@thecreativeone I second that. I wish it rained more where I am
1956995196,sad,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995505,neutral,damn it were is Eric or anyone else when you need your hair to be played with
1956995679,neutral,I'm feel deflated. Ugh. No more dog.
1956995762,sad,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956995852,neutral,Well it almost was a good day... Guess I just retry tomorrow
1956996081,disgust,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385,happy,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996470,fear,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
1956996673,disgust,@britblackbird  youstinkatrespondingtotexts!
1956996730,sad,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765,happy,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1956996776,sad,Is miserable  i feel like im gona cry  sux!
1956997143,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
1956997352,fear,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
1956997619,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
1956998370,happy,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sad,*sigh* I'm going to bed... I just don't feel right anymore...
1956998538,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
1956998698,neutral,@jwillock EpiCentre Wheelock Place - tourists only..
1956998704,sad,Now I am depressed after watching so you think you can dance
1957000040,sad,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957000077,neutral,miss 16'th
1957000152,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
1957000290,fear,"I cant sleep, but im too sore to move"
1957000314,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
1957000336,neutral,@softtouchme just answered you- never learned how to write in French- just basic stuff-
1957000372,neutral,what is it with chocolates? i just can never say no
1957000788,fear,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
1957001049,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
1957001370,fear,@omfgiselle i cant do anything
1957001496,neutral,still needs another 6 hours of sleep
1957001506,happy,I'm at work
1957001854,happy,RIP leonardo. You were a great mini fiddler crab
1957001967,neutral,"Morning tweeple,way to early again"
1957002082,sad,"Last day working for the Uni today, sad times"
1957002773,happy,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
1957002923,fear,My head hurts so bad I could scream!
1957003048,fear,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
1957003356,fear,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
1957003440,fear,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
1957003715,neutral,"where are all ma bestfriends at ? , MIA or wat ?"
1957004184,fear,oh men!!!!!!......I really can't see my face........c'mon guys!!!
1957004519,fear,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
1957004606,fear,my sole supporter is not my sole supporter
1957004749,disgust,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005165,fear,@Emilyyy16 urgh stop it guys
1957005226,sad,is still missing her husband.    I really want him home.
1957005279,sad,I miss my puppy
1957005410,surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
1957005696,happy,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957005713,sad,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957005817,fear,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
1957006033,sad,@BarbSchaefer yearling in pet home died... very sad for their whole family
1957006074,neutral,fun in the sun hmmm hell no it's cold
1957006098,fear,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
1957006245,sad,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1957006307,fear,is feeling sad... for some reason..  http://plurk.com/p/wxji3
1957006547,sad,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
1957006674,sad,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1957006725,neutral,@juneyee i don't think so.  I WANT DETAILS.
1957006830,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
1957006947,fear,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
1957007167,neutral,my last tweet didn't send  bad phone
1957007268,happy,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
1957007357,neutral,Have a headache  I'm going to bed. Goodnight!
1957007394,neutral,@taxidermi  I was watching Parental Control
1957007437,happy,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
1957007633,sad,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
1957007981,fear,@jertronic it wont let me
1957008075,sad,Took a shift tomorrow.    I don't really feel like working right now.
1957008193,sad,but now i have no money for a phone
1957008287,fear,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
1957008292,fear,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
1957008434,surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
1957008478,surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
1957008498,sad,Too bad the Red Devils.. disappointing to say the least
1957008766,surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
1957008802,sad,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
1957008987,surprise,when da heck will the garage man get here I ask you.. WHEN..
1957009454,fear,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
1957009666,disgust,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010072,fear,why are plane tickets so expensive
1957010329,happy,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010415,fear,Needs a job BADLY!!!
1957011291,sad,@AlexanderGWhite daaammmnnnnn I do wish I was there.
1957011738,fear,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
1957012476,sad,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1957012535,neutral,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
1957012769,sad,is a bad friend
1957013149,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
1957013166,disgust,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
1957013488,neutral,@aiderushton ill be over in an oir
1957013697,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
1957013723,disgust,would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013804,happy,@bobbyedner i missed the game
1957013885,sad,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
1957013895,disgust,@tiffalo cuz airlines are super lame.
1957013896,sad,@lenje - Still a pity it comes with no lamb though
1957014267,sad,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
1957014389,happy,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
1957014493,disgust,I'm so very tired...and have insomnia.
1957014517,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
1957014706,disgust,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
1957015287,neutral,@MrRathbone what about me
1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
1957015719,fear,people in my house do not know how to close doors
1957016086,surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
1957016169,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
1957016339,fear,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
1957016697,sad,Had to cancel wow for now
1957016818,fear,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
1957017164,sad,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017177,fear,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
1957017320,fear,@__sugar oh no  i am always here ;) &lt;3
1957017333,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
1957017522,happy,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happy,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957017610,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
1957018061,sad,Up late with nothin 2 do.....
1957018162,fear,i think the vog is making me sicker than i think. feeling slightly achy
1957018678,neutral,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"
1957019034,fear,i am doing homework it sux big time maths is the worst!!!!!!
1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
1957019458,neutral,#3wordsaftersex it never started...
1957019556,sad,sometimes i wish things could go back to the way they were the beginning of last summer
1957019715,fear,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
1957019766,neutral,@tarng Trudy's off Burnet...the one up north that no one goes to
1957020180,sad,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
1957020385,happy,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
1957020390,fear,i'm sooooooooooooo confused
1957020593,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
1957020624,fear,"Work day 7 of 7,"
1957020702,happy,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957020861,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
1957021039,fear,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
1957021224,neutral,@mysticnz no im not  cries LOL
1957021305,sad,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021321,surprise,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
1957021486,disgust,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957021631,neutral,Come on Knight... It's been well over 4 hours
1957022610,fear,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
1957022799,surprise,@FoxxFiles aw u can't let me in on the secret!
1957023061,surprise,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
1957023133,fear,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
1957023263,disgust,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
1957023739,disgust,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957023842,neutral,twittascope is NOT rocking my socks - go away already!!
1957023917,neutral,Driving Back home because I forgot the piece of cake for @v_era
1957024334,fear,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
1957025428,sad,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
1957026475,sad,It's pissing me off and not letting me follow ericka
1957027495,sad,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,sad,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957027687,neutral,@koifusionpdx i was so close to the tacos...one spot too late
1957027841,neutral,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
1957028656,surprise,is thinking so much and i'm at work
1957028775,fear,I have forgot the live with the Jonas Brothers on Facebook
1957028895,sad,I haven't seen Muffin in two whole days!
1957029111,sad,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029634,surprise,my gap year is going so quick
1957029641,fear,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
1957029899,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
1957030196,fear,my twitter has been hacked again
1957030545,sad,Just found mj mouse flats at DJs. Of course there are none left in my size
1957030596,neutral,@passingcarss i wont have time to buy  and i need a new binder pa
1957030622,disgust,@lanacaitlin  hahaha well its try its so ugly
1957030793,neutral,25-man Ulduar is hard...
1957031520,fear,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
1957031859,happy,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957032014,neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
1957032051,neutral,@princess_oats this is happening to me too
1957032114,surprise,@qi_tah oh no.  *hugs*
1957032127,neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
1957032228,sad,@xoshayzers i knoww  things won't be the samee &lt;/3
1957032539,fear,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
1957033043,happy,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033103,fear,"Okay, so twitter suddenly changed, how do I respond to messages now"
1957033219,neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
1957033558,fear,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
1957033776,sad,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957033815,neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
1957033874,disgust,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957033901,fear,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
1957034202,sad,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
1957034289,disgust,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
1957034434,neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
1957034566,sad,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
1957034940,neutral,@sillybabyjulie me too
1957034983,neutral,@digenis that story reminds of living in Portugal
1957035419,neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
1957035564,happy,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
1957035950,disgust,my roommate @tess_tickle loves to ignore me
1957036183,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
1957037405,neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
1957037860,happy,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
1957038324,sad,my teeth and head hurts
1957038398,sad,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
1957038470,disgust,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
1957038475,neutral,Waiting in line @ tryst
1957038477,fear,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
1957038763,fear,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
1957038970,fear,I need to be held...  Gnite.
1957039203,fear,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
1957039456,sad,no more arrested development. i am sad.
1957039841,neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
1957039894,sad,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
1957039922,sad,I feel so deflated. No more doggy.
1957039947,fear,@blood_rain i wanna see her hair  hows everyone?
1957040172,sad,"I just had to neutral my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
1957040395,sad,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
1957040988,sad,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
1957041569,fear,Aww...  Pray for the arroyo family everyone!
1957041648,neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
1957041745,sad,Fuuudge. Movie store is closed
1957041767,sad,ALO is so sad and quiet and neutral tonight
1957041812,disgust,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
1957041856,fear,@wuzzyangel You never answered your DM I sent you....   I need your info...
1957042008,fear,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
1957042316,sad,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
1957042474,fear,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
1957042509,fear,@jose3030 I didn't think anyone caught that
1957042579,neutral,I need to be sleeping.. But i'm not even tired..
1957042734,neutral,0
1957042799,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
1957042862,neutral,"lyin in bed, up faaaaar too early"
1957043226,sad,Sad that Christian Lacroix had to file bankruptcy
1957043241,sad,I dont feel good AT ALL. fuckkk
1957044366,neutral,why did i agree to work a double shift
1957044680,fear,looks like i'll never go to the zoo
1957044694,fear,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
1957044783,neutral,When will Medhurst play again?
1957044789,fear,@Moss1982 bad times?
1957044935,disgust,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
1957045395,sad,Have to go to the dreaded DMV tomorrow
1957045641,neutral,@duncm I'm a bit Ben's Thai-ed out
1957045692,happy,english class! working on interactive orals
1957045940,fear,@SharonHayes Thank you for the rec but that doesn't work
